,Participant,Condition,TrialId,Score,ExpectedScore,NumClicks,TestEnv,HighRiskClicks
605,162,3,1,-1500,-155.0,6,1,0
606,162,3,2,-60,-50.0,17,2,4
607,162,3,3,15,10.0,10,3,4
608,162,3,4,20,15.0,6,4,4
609,162,3,5,-30,-45.0,7,5,4
610,163,0,1,-25,-110.0,3,1,0
611,163,0,2,5,-120.0,3,2,0
612,163,0,3,75,-135.0,4,3,0
613,163,0,4,55,-120.0,3,4,0
614,163,0,5,15,-105.0,2,5,0
615,164,0,1,35,-115.0,4,1,0
616,164,0,2,65,-80.0,3,2,0
617,164,0,3,95,-60.0,1,3,0
618,164,0,4,60,-85.0,1,4,0
619,164,0,5,-1450,-130.0,3,5,0
620,166,3,1,-495,-495.0,57,1,4
621,166,3,2,-70,-70.0,18,2,4
622,166,3,3,-175,-175.0,28,3,4
623,166,3,4,-65,-65.0,18,4,4
624,166,3,5,-125,-125.0,18,5,2
630,169,2,1,50,-120.0,2,1,0
631,169,2,2,85,-120.0,2,2,0
632,169,2,3,-1450,-100.0,0,3,0
633,169,2,4,70,-85.0,1,4,0
634,169,2,5,-1455,-120.0,2,5,0
640,172,1,1,15,15.0,6,1,1
641,172,1,2,55,60.0,4,2,1
642,172,1,3,55,50.0,5,3,2
643,172,1,4,35,35.0,4,4,2
644,172,1,5,-55,-35.0,6,5,2
645,174,1,1,-20,20.0,3,1,1
646,174,1,2,75,70.0,3,2,1
647,174,1,3,85,-65.0,2,3,0
648,174,1,4,85,-80.0,3,4,0
649,174,1,5,-1455,-130.0,3,5,0
650,177,0,1,-95,-95.0,17,1,1
651,177,0,2,-40,-40.0,15,2,1
652,177,0,3,-85,-85.0,20,3,2
653,177,0,4,-65,-65.0,16,4,2
654,177,0,5,-135,-135.0,19,5,3
655,178,2,1,15,-115.0,4,1,0
656,178,2,2,65,-90.0,4,2,0
657,178,2,3,65,-90.0,4,3,0
658,178,2,4,65,-90.0,4,4,0
659,178,2,5,-1455,-115.0,4,5,0
660,179,1,1,45,55.0,2,1,1
661,179,1,2,45,60.0,4,2,1
662,179,1,3,-1460,-120.0,2,3,1
663,179,1,4,50,45.0,3,4,1
664,179,1,5,-35,-35.0,6,5,2
670,181,1,1,45,-105.0,3,1,0
671,181,1,2,75,-80.0,3,2,0
672,181,1,3,90,-60.0,1,3,0
673,181,1,4,50,-95.0,2,4,0
674,181,1,5,-1475,-115.0,4,5,0
675,182,3,1,-1570,-230.0,13,1,1
676,182,3,2,25,35.0,8,2,3
677,182,3,3,30,35.0,7,3,1
678,182,3,4,-5,-5.0,9,4,1
679,182,3,5,-1470,-115.0,5,5,0
680,183,0,1,-25,-140.0,4,1,0
681,183,0,2,25,-110.0,2,2,0
682,183,0,3,65,-130.0,4,3,0
683,183,0,4,45,-145.0,5,4,0
684,183,0,5,-20,-105.0,2,5,0
685,185,3,1,-405,-405.0,46,1,4
686,185,3,2,-70,-70.0,18,2,4
687,185,3,3,-205,-205.0,32,3,4
688,185,3,4,-70,-80.0,19,4,4
689,185,3,5,-1655,-1645.0,22,5,4
690,186,3,1,-65,-215.0,14,1,0
691,186,3,2,10,-130.0,9,2,0
692,186,3,3,20,-120.0,9,3,0
693,186,3,4,70,-80.0,3,4,0
694,186,3,5,-1510,-140.0,8,5,0
695,189,0,1,-1540,-185.0,10,1,0
696,189,0,2,-30,-180.0,8,2,0
697,189,0,3,-1455,-100.0,0,3,0
698,189,0,4,-5,-155.0,10,4,0
699,189,0,5,-25,-150.0,6,5,0
700,190,0,1,-105,-45.0,11,1,1
701,190,0,2,30,-160.0,6,2,0
702,190,0,3,-1610,-225.0,14,3,0
703,190,0,4,-5,-180.0,12,4,0
704,190,0,5,-45,-170.0,10,5,0
705,192,2,1,-1495,-145.0,2,1,0
706,192,2,2,-1490,-100.0,0,2,0
707,192,2,3,-1510,-120.0,2,3,2
708,192,2,4,35,15.0,4,4,1
709,192,2,5,-65,-65.0,9,5,4
710,193,2,1,-45,-185.0,11,1,0
711,193,2,2,55,-90.0,5,2,0
712,193,2,3,75,-70.0,2,3,0
713,193,2,4,65,-85.0,1,4,0
714,193,2,5,-1450,-115.0,4,5,0
715,195,1,1,40,45.0,3,1,1
716,195,1,2,65,70.0,3,2,1
717,195,1,3,60,50.0,5,3,2
718,195,1,4,70,45.0,3,4,1
719,195,1,5,-55,-35.0,6,5,2
720,196,3,1,-1565,-1535.0,10,1,1
721,196,3,2,5,-15.0,4,2,2
722,196,3,3,30,40.0,6,3,2
723,196,3,4,5,15.0,6,4,2
724,196,3,5,0,5.0,2,5,1
725,197,2,1,35,-115.0,4,1,0
726,197,2,2,70,-60.0,1,2,0
727,197,2,3,95,-70.0,2,3,0
728,197,2,4,55,-95.0,2,4,0
729,197,2,5,-1435,-105.0,3,5,0
730,198,1,1,35,-115.0,4,1,0
731,198,1,2,50,75.0,3,2,1
732,198,1,3,-1480,-1455.0,3,3,1
733,198,1,4,80,55.0,2,4,1
734,198,1,5,-1475,-115.0,4,5,0
735,201,1,1,0,5.0,7,1,2
736,201,1,2,65,70.0,3,2,1
737,201,1,3,60,50.0,5,3,2
738,201,1,4,70,45.0,3,4,1
739,201,1,5,-50,-65.0,9,5,3
745,204,2,1,25,-115.0,4,1,0
746,204,2,2,70,-60.0,1,2,0
747,204,2,3,90,-70.0,2,3,0
748,204,2,4,85,-80.0,3,4,0
749,204,2,5,-1445,-115.0,4,5,0
755,206,2,1,25,-115.0,4,1,0
756,206,2,2,85,-70.0,2,2,0
757,206,2,3,-1425,-85.0,1,3,0
758,206,2,4,30,25.0,6,4,2
759,206,2,5,-1475,-125.0,6,5,0
760,207,1,1,-10,-145.0,7,1,0
761,207,1,2,75,80.0,2,2,1
762,207,1,3,85,-70.0,2,3,0
763,207,1,4,90,-85.0,1,4,0
764,207,1,5,-1460,-130.0,3,5,0
765,208,2,1,10,-115.0,4,1,0
766,208,2,2,65,-80.0,3,2,0
767,208,2,3,50,-90.0,4,3,0
768,208,2,4,60,-90.0,4,4,0
769,208,2,5,0,-100.0,0,5,0
